	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	LLY	345.12	47.78	1.98	3.33	0.97	12.11
1	ELV	490.78	51.7	0.66	1.02	1.07	11.78
2	ORLY	825.32	56.48	0.67	0.7	1.02	19.76
3	AZO	2513.69	61.7	0.23	0.15	0.94	52.25
