	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	PARA	21.59	49.86	7.74	9.02	-0.92	1.06
1	PNR	55.21	59.12	2.04	1.69	-1.22	1.74
2	LVS	56.81	58.34	3.67	3.79	-1.23	1.67
3	KMX	73.57	57.56	1.51	1.61	-1.22	3.38
4	EW	77.2	47.34	2.6	3.98	-0.1	2.2
5	PKI	135.73	46.64	0.69	0.57	-0.75	4.4
6	META	174.15	64.68	33.41	47.91	-2.12	8.14
7	CDNS	183.8	57.84	1.17	1.26	-1.33	4.71
8	ESS	233.77	60.63	0.75	0.76	-1.13	5.61
9	IT	347.62	57.2	0.34	0.61	-0.97	10.06
10	DPZ	354.06	51.5	0.7	0.4	-0.26	9.29
