	TICKER	CP	RSI	VOL	AVGVOL5	CHG%	ATR14
0	PARA	21.59	49.86	7.74	9.02	-0.92	1.06
1	VFC	26.27	34.03	13.74	12.02	0.92	1.5
2	PNR	55.21	59.12	2.04	1.69	-1.22	1.74
3	LVS	56.81	58.34	3.67	3.79	-1.23	1.67
4	PKI	135.73	46.64	0.69	0.57	-0.75	4.4
5	CDNS	183.8	57.84	1.17	1.26	-1.33	4.71
