Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Sell,Filled,1,1,@0.500,0.500,DAY,12/20/2022 13:09:12 EST,12/20/2022 13:14:09 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Buy,Filled,1,1,@0.460,0.460,DAY,12/20/2022 13:09:12 EST,12/20/2022 13:09:13 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Sell,Filled,1,1,@0.480,0.480,DAY,12/20/2022 13:08:13 EST,12/20/2022 13:08:32 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Buy,Filled,1,1,@0.510,0.510,DAY,12/20/2022 13:08:13 EST,12/20/2022 13:08:17 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Sell,Filled,1,1,@0.820,0.820,DAY,12/20/2022 12:30:02 EST,12/20/2022 12:37:26 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Buy,Filled,1,1,@0.690,0.690,DAY,12/20/2022 12:30:02 EST,12/20/2022 12:30:02 EST
SPY 12/20/2022 00:00:00 EST Call $381.00,SPY221220C00381000,Sell,Filled,1,1,@0.940,0.940,DAY,12/20/2022 12:06:18 EST,12/20/2022 12:07:40 EST
SPY 12/20/2022 00:00:00 EST Call $381.00,SPY221220C00381000,Buy,Filled,1,1,@0.940,0.940,DAY,12/20/2022 12:06:18 EST,12/20/2022 12:06:18 EST
SPY 12/20/2022 00:00:00 EST Call $381.00,SPY221220C00381000,Sell,Filled,1,1,@0.820,0.820,DAY,12/20/2022 11:58:50 EST,12/20/2022 11:59:33 EST
SPY 12/20/2022 00:00:00 EST Call $381.00,SPY221220C00381000,Buy,Filled,1,1,@0.710,0.710,DAY,12/20/2022 11:58:50 EST,12/20/2022 11:58:51 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Sell,Filled,1,1,@1.41,1.41,DAY,12/20/2022 11:18:42 EST,12/20/2022 11:19:24 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Buy,Filled,1,1,@1.49,1.49,DAY,12/20/2022 11:18:42 EST,12/20/2022 11:18:45 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Sell,Filled,1,1,@1.38,1.38,DAY,12/20/2022 11:17:00 EST,12/20/2022 11:17:13 EST
SPY 12/20/2022 00:00:00 EST Put $380.00,SPY221220P00380000,Buy,Filled,1,1,@1.45,1.45,DAY,12/20/2022 11:17:00 EST,12/20/2022 11:17:06 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Sell,Filled,1,1,@1.30,1.30,DAY,12/20/2022 11:09:29 EST,12/20/2022 11:11:05 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Buy,Filled,1,1,@1.13,1.13,DAY,12/20/2022 11:09:29 EST,12/20/2022 11:09:30 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Sell,Filled,1,1,@0.970,0.970,DAY,12/20/2022 10:59:55 EST,12/20/2022 11:01:20 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Buy,Filled,1,1,@1.00,1.00,DAY,12/20/2022 10:59:55 EST,12/20/2022 11:00:09 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Sell,Filled,5,5,@0.890,0.890,DAY,12/20/2022 10:47:36 EST,12/20/2022 10:48:16 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Buy,Filled,5,5,@0.950,0.950,DAY,12/20/2022 10:47:36 EST,12/20/2022 10:47:36 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Sell,Filled,1,1,@0.860,0.860,DAY,12/20/2022 10:41:24 EST,12/20/2022 10:42:11 EST
SPY 12/20/2022 00:00:00 EST Put $381.00,SPY221220P00381000,Buy,Filled,1,1,@0.870,0.870,DAY,12/20/2022 10:41:24 EST,12/20/2022 10:41:24 EST
SPY 12/20/2022 00:00:00 EST Call $382.00,SPY221220C00382000,Sell,Filled,1,1,@1.07,1.07,DAY,12/20/2022 10:36:26 EST,12/20/2022 10:38:25 EST
