Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 01/03/2023 00:00:00 EST Put $380.00,SPY230103P00380000,Sell,Filled,1,1,@1.78,1.78,DAY,12/30/2022 15:25:42 EST,12/30/2022 15:28:40 EST
SPY 01/03/2023 00:00:00 EST Put $380.00,SPY230103P00380000,Buy,Filled,1,1,@1.89,1.89,DAY,12/30/2022 15:25:42 EST,12/30/2022 15:25:45 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Sell,Filled,1,1,@0.930,0.930,DAY,12/30/2022 14:14:14 EST,12/30/2022 14:18:21 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Buy,Filled,1,1,@0.780,0.780,DAY,12/30/2022 14:14:14 EST,12/30/2022 14:14:14 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Sell,Filled,1,1,@0.880,0.880,DAY,12/30/2022 14:04:32 EST,12/30/2022 14:12:34 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Buy,Filled,1,1,@0.850,0.850,DAY,12/30/2022 14:04:32 EST,12/30/2022 14:06:31 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Sell,Filled,1,1,@0.620,0.620,DAY,12/30/2022 13:56:47 EST,12/30/2022 13:59:19 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Buy,Filled,1,1,@0.650,0.650,DAY,12/30/2022 13:56:47 EST,12/30/2022 13:56:49 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Sell,Filled,1,1,@0.510,0.510,DAY,12/30/2022 13:54:59 EST,12/30/2022 13:55:50 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Buy,Filled,1,1,@0.580,0.580,DAY,12/30/2022 13:54:59 EST,12/30/2022 13:55:00 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Sell,Filled,1,1,@0.600,0.600,DAY,12/30/2022 13:53:27 EST,12/30/2022 13:54:21 EST
SPY 12/30/2022 00:00:00 EST Put $379.00,SPY221230P00379000,Buy,Filled,1,1,@0.720,0.720,DAY,12/30/2022 13:53:27 EST,12/30/2022 13:53:50 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.16,1.16,DAY,12/30/2022 13:46:45 EST,12/30/2022 13:49:18 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@1.17,1.17,DAY,12/30/2022 13:46:45 EST,12/30/2022 13:46:46 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.03,1.03,DAY,12/30/2022 13:36:46 EST,12/30/2022 13:40:56 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.930,0.930,DAY,12/30/2022 13:36:46 EST,12/30/2022 13:36:46 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Sell,Filled,1,1,@0.710,0.710,DAY,12/30/2022 12:00:28 EST,12/30/2022 12:00:42 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Buy,Filled,1,1,@0.800,0.800,DAY,12/30/2022 12:00:28 EST,12/30/2022 12:00:29 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Sell,Filled,1,1,@0.560,0.560,DAY,12/30/2022 11:55:28 EST,12/30/2022 11:56:10 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Buy,Filled,1,1,@0.660,0.660,DAY,12/30/2022 11:55:28 EST,12/30/2022 11:55:28 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.10,1.10,DAY,12/30/2022 11:24:11 EST,12/30/2022 11:26:38 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@1.16,1.16,DAY,12/30/2022 11:24:11 EST,12/30/2022 11:24:30 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.07,1.07,DAY,12/30/2022 11:20:40 EST,12/30/2022 11:21:50 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@1.16,1.16,DAY,12/30/2022 11:20:40 EST,12/30/2022 11:20:42 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.920,0.920,DAY,12/30/2022 11:01:08 EST,12/30/2022 11:01:40 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@1.01,1.01,DAY,12/30/2022 11:01:08 EST,12/30/2022 11:01:08 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.930,0.930,DAY,12/30/2022 10:56:07 EST,12/30/2022 10:59:26 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.820,0.820,DAY,12/30/2022 10:56:07 EST,12/30/2022 10:56:07 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Sell,Filled,1,1,@1.27,1.27,DAY,12/30/2022 10:49:21 EST,12/30/2022 10:50:02 EST
SPY 12/30/2022 00:00:00 EST Call $381.00,SPY221230C00381000,Buy,Filled,1,1,@1.23,1.23,DAY,12/30/2022 10:49:21 EST,12/30/2022 10:49:21 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.920,0.920,DAY,12/30/2022 10:41:23 EST,12/30/2022 10:43:00 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.990,0.990,DAY,12/30/2022 10:41:23 EST,12/30/2022 10:41:23 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.880,0.880,DAY,12/30/2022 10:34:19 EST,12/30/2022 10:34:38 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.970,0.970,DAY,12/30/2022 10:34:19 EST,12/30/2022 10:34:20 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.830,0.830,DAY,12/30/2022 10:28:17 EST,12/30/2022 10:29:51 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.880,0.880,DAY,12/30/2022 10:28:17 EST,12/30/2022 10:28:18 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@0.770,0.770,DAY,12/30/2022 10:23:20 EST,12/30/2022 10:24:55 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@0.870,0.870,DAY,12/30/2022 10:23:20 EST,12/30/2022 10:23:28 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Sell,Filled,1,1,@1.84,1.84,DAY,12/30/2022 10:15:07 EST,12/30/2022 10:21:00 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Buy,Filled,1,1,@1.42,1.42,DAY,12/30/2022 10:15:07 EST,12/30/2022 10:15:07 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.33,1.33,DAY,12/30/2022 10:05:28 EST,12/30/2022 10:07:10 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Buy,Filled,1,1,@1.40,1.40,DAY,12/30/2022 10:05:28 EST,12/30/2022 10:05:28 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Sell,Filled,1,1,@1.57,1.57,DAY,12/30/2022 09:59:14 EST,12/30/2022 10:00:31 EST
SPY 12/30/2022 00:00:00 EST Call $380.00,SPY221230C00380000,Buy,Filled,1,1,@1.51,1.51,DAY,12/30/2022 09:59:14 EST,12/30/2022 09:59:22 EST
SPY 12/30/2022 00:00:00 EST Put $380.00,SPY221230P00380000,Sell,Filled,1,1,@1.52,1.52,DAY,12/30/2022 09:55:59 EST,12/30/2022 09:57:02 EST
