	TICKER	CP	RSI	VOL	AVGVOL	%CHG	ATR	%ATR	SECTOR	IPO	COUNTRY	CATEGORY
1	WBD	12.76	50.28	11.63	19.98	1.84	0.48	3.76	Telecommunications	0.0	United States	large
2	T	14.89	45.59	62.1	59.46	0.61	0.4	2.69	Telecommunications	0.0	United States	large
3	VZ	34.34	46.0	27.83	30.47	0.29	0.89	2.59	Telecommunications	0.0	United States	large
4	CSCO	53.22	62.76	13.56	24.43	-0.71	0.84	1.58	Telecommunications	1990.0	United States	mega
5	CMCSA	42.91	61.41	17.14	23.45	-0.9	0.67	1.56	Telecommunications	0.0	United States	large
6	TMUS	141.09	58.04	4.43	6.37	-0.97	2.16	1.53	Telecommunications	0.0	United States	large
7	CHTR	394.57	69.58	1.08	1.67	-1.04	8.88	2.25	Telecommunications	0.0	United States	large
8	FFIV	154.89	61.83	0.99	1.15	-2.57	3.84	2.48	Telecommunications	1999.0	United States	medium
