Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 01/11/2023 00:00:00 EST Put $387.00,SPY230111P00387000,Sell,Filled,1,1,@0.830,0.830,DAY,01/10/2023 15:07:18 EST,01/10/2023 15:08:24 EST
SPY 01/11/2023 00:00:00 EST Put $387.00,SPY230111P00387000,Buy,Filled,1,1,@0.880,0.880,DAY,01/10/2023 15:07:18 EST,01/10/2023 15:07:24 EST
SPY 01/10/2023 00:00:00 EST Put $390.00,SPY230110P00390000,Sell,Filled,1,1,@0.780,0.780,DAY,01/10/2023 14:41:13 EST,01/10/2023 14:43:09 EST
SPY 01/10/2023 00:00:00 EST Put $390.00,SPY230110P00390000,Buy,Filled,1,1,@0.830,0.830,DAY,01/10/2023 14:41:13 EST,01/10/2023 14:41:13 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Sell,Filled,1,1,@0.600,0.600,DAY,01/10/2023 14:32:33 EST,01/10/2023 14:34:39 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Buy,Filled,1,1,@0.670,0.670,DAY,01/10/2023 14:32:33 EST,01/10/2023 14:32:55 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Sell,Filled,1,1,@0.550,0.550,DAY,01/10/2023 14:30:29 EST,01/10/2023 14:30:48 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Buy,Filled,1,1,@0.630,0.630,DAY,01/10/2023 14:30:29 EST,01/10/2023 14:30:30 EST
SPY 01/10/2023 00:00:00 EST Put $390.00,SPY230110P00390000,Sell,Filled,1,1,@0.740,0.740,DAY,01/10/2023 14:22:46 EST,01/10/2023 14:25:02 EST
SPY 01/10/2023 00:00:00 EST Put $390.00,SPY230110P00390000,Buy,Filled,1,1,@0.760,0.760,DAY,01/10/2023 14:22:46 EST,01/10/2023 14:22:46 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Sell,Filled,1,1,@0.600,0.600,DAY,01/10/2023 14:15:43 EST,01/10/2023 14:17:47 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Buy,Filled,1,1,@0.620,0.620,DAY,01/10/2023 14:15:43 EST,01/10/2023 14:15:43 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Sell,Filled,1,1,@0.510,0.510,DAY,01/10/2023 14:10:07 EST,01/10/2023 14:11:31 EST
SPY 01/10/2023 00:00:00 EST Call $390.00,SPY230110C00390000,Buy,Filled,1,1,@0.560,0.560,DAY,01/10/2023 14:10:07 EST,01/10/2023 14:10:09 EST
SPY 01/10/2023 00:00:00 EST Put $389.00,SPY230110P00389000,Sell,Filled,1,1,@0.940,0.940,DAY,01/10/2023 13:16:16 EST,01/10/2023 13:19:04 EST
SPY 01/10/2023 00:00:00 EST Put $389.00,SPY230110P00389000,Buy,Filled,1,1,@0.880,0.880,DAY,01/10/2023 13:16:16 EST,01/10/2023 13:16:19 EST
SPY 01/10/2023 00:00:00 EST Call $389.00,SPY230110C00389000,Sell,Filled,1,1,@0.920,0.920,DAY,01/10/2023 13:06:52 EST,01/10/2023 13:11:55 EST
SPY 01/10/2023 00:00:00 EST Call $389.00,SPY230110C00389000,Buy,Filled,1,1,@0.940,0.940,DAY,01/10/2023 13:06:52 EST,01/10/2023 13:07:00 EST
SPY 01/10/2023 00:00:00 EST Put $389.00,SPY230110P00389000,Sell,Filled,1,1,@0.990,0.990,DAY,01/10/2023 12:54:28 EST,01/10/2023 12:55:30 EST
SPY 01/10/2023 00:00:00 EST Put $389.00,SPY230110P00389000,Buy,Filled,1,1,@1.11,1.11,DAY,01/10/2023 12:54:28 EST,01/10/2023 12:54:28 EST
SPY 01/10/2023 00:00:00 EST Call $388.00,SPY230110C00388000,Sell,Filled,1,1,@1.37,1.37,DAY,01/10/2023 12:52:13 EST,01/10/2023 12:52:46 EST
SPY 01/10/2023 00:00:00 EST Call $388.00,SPY230110C00388000,Buy,Filled,1,1,@1.42,1.42,DAY,01/10/2023 12:52:13 EST,01/10/2023 12:52:13 EST
SPY 01/10/2023 00:00:00 EST Put $388.00,SPY230110P00388000,Sell,Filled,1,1,@1.06,1.06,DAY,01/10/2023 12:18:25 EST,01/10/2023 12:21:51 EST
SPY 01/10/2023 00:00:00 EST Put $388.00,SPY230110P00388000,Buy,Filled,1,1,@0.980,0.980,DAY,01/10/2023 12:18:25 EST,01/10/2023 12:18:36 EST
SPY 01/10/2023 00:00:00 EST Put $387.00,SPY230110P00387000,Sell,Filled,1,1,@0.700,0.700,DAY,01/10/2023 12:04:07 EST,01/10/2023 12:07:22 EST
SPY 01/10/2023 00:00:00 EST Put $387.00,SPY230110P00387000,Buy,Filled,1,1,@0.740,0.740,DAY,01/10/2023 12:04:07 EST,01/10/2023 12:06:50 EST
SPY 01/10/2023 00:00:00 EST Put $387.00,SPY230110P00387000,Sell,Filled,1,1,@0.720,0.720,DAY,01/10/2023 12:02:34 EST,01/10/2023 12:03:24 EST
SPY 01/10/2023 00:00:00 EST Put $387.00,SPY230110P00387000,Buy,Filled,1,1,@0.810,0.810,DAY,01/10/2023 12:02:34 EST,01/10/2023 12:03:01 EST
