Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Sell,Filled,1,1,@1.51,1.51,DAY,12/23/2022 15:51:31 EST,12/23/2022 15:52:41 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Buy,Filled,1,1,@1.63,1.63,DAY,12/23/2022 15:51:31 EST,12/23/2022 15:51:39 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Sell,Filled,1,1,@1.92,1.92,DAY,12/23/2022 15:35:21 EST,12/23/2022 15:39:39 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Buy,Filled,1,1,@1.91,1.91,DAY,12/23/2022 15:35:21 EST,12/23/2022 15:35:21 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Sell,Filled,1,1,@1.73,1.73,DAY,12/23/2022 15:26:29 EST,12/23/2022 15:29:12 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Buy,Filled,1,1,@1.78,1.78,DAY,12/23/2022 15:26:29 EST,12/23/2022 15:26:30 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Sell,Filled,1,1,@1.66,1.66,DAY,12/23/2022 15:05:36 EST,12/23/2022 15:08:50 EST
SPY 12/27/2022 00:00:00 EST Put $382.00,SPY221227P00382000,Buy,Filled,1,1,@1.68,1.68,DAY,12/23/2022 15:05:36 EST,12/23/2022 15:05:36 EST
SPY 12/27/2022 00:00:00 EST Call $382.00,SPY221227C00382000,Sell,Filled,1,1,@2.32,2.32,DAY,12/23/2022 14:57:24 EST,12/23/2022 15:03:14 EST
SPY 12/27/2022 00:00:00 EST Call $382.00,SPY221227C00382000,Buy,Filled,1,1,@2.09,2.09,DAY,12/23/2022 14:57:24 EST,12/23/2022 14:57:43 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Sell,Filled,1,1,@0.600,0.600,DAY,12/23/2022 14:49:11 EST,12/23/2022 14:50:31 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Buy,Filled,1,1,@0.680,0.680,DAY,12/23/2022 14:49:11 EST,12/23/2022 14:49:12 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Sell,Filled,1,1,@0.530,0.530,DAY,12/23/2022 14:41:21 EST,12/23/2022 14:47:41 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Buy,Filled,1,1,@0.570,0.570,DAY,12/23/2022 14:41:21 EST,12/23/2022 14:41:47 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Sell,Filled,1,1,@0.670,0.670,DAY,12/23/2022 14:37:45 EST,12/23/2022 14:38:47 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Buy,Filled,1,1,@0.660,0.660,DAY,12/23/2022 14:37:45 EST,12/23/2022 14:37:59 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Sell,Filled,1,1,@0.590,0.590,DAY,12/23/2022 14:33:24 EST,12/23/2022 14:36:27 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Buy,Filled,1,1,@0.620,0.620,DAY,12/23/2022 14:33:24 EST,12/23/2022 14:33:28 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Sell,Filled,1,1,@0.540,0.540,DAY,12/23/2022 14:26:19 EST,12/23/2022 14:31:52 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Buy,Filled,1,1,@0.500,0.500,DAY,12/23/2022 14:26:19 EST,12/23/2022 14:28:45 EST
SPY 12/23/2022 00:00:00 EST Put $381.00,SPY221223P00381000,Sell,Filled,1,1,@0.410,0.410,DAY,12/23/2022 14:22:26 EST,12/23/2022 14:25:10 EST
SPY 12/23/2022 00:00:00 EST Put $381.00,SPY221223P00381000,Buy,Filled,1,1,@0.440,0.440,DAY,12/23/2022 14:22:26 EST,12/23/2022 14:22:26 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Sell,Filled,1,1,@0.550,0.550,DAY,12/23/2022 14:20:12 EST,12/23/2022 14:21:07 EST
SPY 12/23/2022 00:00:00 EST Call $382.00,SPY221223C00382000,Buy,Filled,1,1,@0.620,0.620,DAY,12/23/2022 14:20:12 EST,12/23/2022 14:20:29 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Sell,Filled,1,1,@0.860,0.860,DAY,12/23/2022 13:51:41 EST,12/23/2022 13:52:47 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Buy,Filled,1,1,@0.980,0.980,DAY,12/23/2022 13:51:41 EST,12/23/2022 13:51:47 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Sell,Filled,1,1,@0.950,0.950,DAY,12/23/2022 12:47:20 EST,12/23/2022 12:56:10 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Buy,Filled,1,1,@0.960,0.960,DAY,12/23/2022 12:47:20 EST,12/23/2022 12:47:32 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Sell,Filled,1,1,@0.880,0.880,DAY,12/23/2022 12:37:15 EST,12/23/2022 12:45:48 EST
SPY 12/23/2022 00:00:00 EST Put $382.00,SPY221223P00382000,Buy,Filled,1,1,@0.690,0.690,DAY,12/23/2022 12:37:15 EST,12/23/2022 12:38:19 EST
