Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 12/29/2022 00:00:00 EST Put $381.00,SPY221229P00381000,Sell,Filled,1,1,@0.330,0.330,DAY,12/29/2022 11:18:50 EST,12/29/2022 11:30:22 EST
SPY 12/29/2022 00:00:00 EST Put $381.00,SPY221229P00381000,Buy,Filled,1,1,@0.400,0.400,DAY,12/29/2022 11:18:50 EST,12/29/2022 11:18:50 EST
SPY 12/29/2022 00:00:00 EST Call $380.00,SPY221229C00380000,Sell,Filled,1,1,@2.04,2.04,DAY,12/29/2022 09:37:43 EST,12/29/2022 09:40:56 EST
SPY 12/29/2022 00:00:00 EST Call $380.00,SPY221229C00380000,Buy,Filled,1,1,@1.70,1.70,DAY,12/29/2022 09:37:43 EST,12/29/2022 09:39:09 EST
SPY 12/29/2022 00:00:00 EST Call $379.00,SPY221229C00379000,Sell,Filled,1,1,@2.05,2.05,DAY,12/29/2022 09:35:08 EST,12/29/2022 09:36:01 EST
SPY 12/29/2022 00:00:00 EST Call $379.00,SPY221229C00379000,Buy,Filled,1,1,@1.99,1.99,DAY,12/29/2022 09:35:08 EST,12/29/2022 09:35:08 EST
SPY 12/29/2022 00:00:00 EST Put $379.00,SPY221229P00379000,Sell,Filled,1,1,@1.24,1.24,DAY,12/29/2022 09:32:46 EST,12/29/2022 09:33:49 EST
SPY 12/29/2022 00:00:00 EST Put $379.00,SPY221229P00379000,Buy,Filled,1,1,@1.26,1.26,DAY,12/29/2022 09:32:46 EST,12/29/2022 09:33:02 EST
