Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY 01/12/2023 00:00:00 EST Put $392.00,SPY230112P00392000,Sell,Filled,1,1,@0.280,0.280,DAY,01/12/2023 11:33:25 EST,01/12/2023 11:34:55 EST
SPY 01/12/2023 00:00:00 EST Put $392.00,SPY230112P00392000,Buy,Filled,1,1,@0.260,0.260,DAY,01/12/2023 11:33:25 EST,01/12/2023 11:33:25 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.05,1.05,DAY,01/12/2023 11:25:47 EST,01/12/2023 11:27:23 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@0.890,0.890,DAY,01/12/2023 11:25:47 EST,01/12/2023 11:25:48 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Sell,Filled,1,1,@0.730,0.730,DAY,01/12/2023 11:23:58 EST,01/12/2023 11:25:09 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Buy,Filled,1,1,@0.820,0.820,DAY,01/12/2023 11:23:58 EST,01/12/2023 11:24:07 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.42,1.42,DAY,01/12/2023 11:04:20 EST,01/12/2023 11:04:52 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@1.49,1.49,DAY,01/12/2023 11:04:20 EST,01/12/2023 11:04:21 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.38,1.38,DAY,01/12/2023 11:03:35 EST,01/12/2023 11:03:52 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@1.47,1.47,DAY,01/12/2023 11:03:35 EST,01/12/2023 11:03:35 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.52,1.52,DAY,01/12/2023 11:02:50 EST,01/12/2023 11:03:02 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@1.59,1.59,DAY,01/12/2023 11:02:50 EST,01/12/2023 11:02:50 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.60,1.60,DAY,01/12/2023 11:01:17 EST,01/12/2023 11:01:49 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@1.47,1.47,DAY,01/12/2023 11:01:17 EST,01/12/2023 11:01:18 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@1.18,1.18,DAY,01/12/2023 11:00:09 EST,01/12/2023 11:00:12 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Buy,Filled,1,1,@1.20,1.20,DAY,01/12/2023 11:00:09 EST,01/12/2023 11:00:09 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Sell,Filled,1,1,@0.860,0.860,DAY,01/12/2023 10:59:31 EST,01/12/2023 10:59:42 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Buy,Filled,1,1,@0.940,0.940,DAY,01/12/2023 10:59:31 EST,01/12/2023 10:59:32 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Sell,Filled,1,1,@0.980,0.980,DAY,01/12/2023 10:59:00 EST,01/12/2023 10:59:09 EST
SPY 01/12/2023 00:00:00 EST Call $397.00,SPY230112C00397000,Buy,Filled,1,1,@1.03,1.03,DAY,01/12/2023 10:59:00 EST,01/12/2023 10:59:02 EST
SPY 01/12/2023 00:00:00 EST Call $396.00,SPY230112C00396000,Sell,Filled,1,1,@1.33,1.33,DAY,01/12/2023 10:56:48 EST,01/12/2023 10:57:11 EST
SPY 01/12/2023 00:00:00 EST Call $396.00,SPY230112C00396000,Buy,Filled,1,1,@1.41,1.41,DAY,01/12/2023 10:56:48 EST,01/12/2023 10:56:48 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Sell,Filled,1,1,@1.76,1.76,DAY,01/12/2023 10:51:07 EST,01/12/2023 10:51:22 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Buy,Filled,1,1,@1.87,1.87,DAY,01/12/2023 10:51:07 EST,01/12/2023 10:51:08 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Sell,Filled,1,1,@1.75,1.75,DAY,01/12/2023 10:30:47 EST,01/12/2023 10:31:51 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Buy,Filled,1,1,@1.63,1.63,DAY,01/12/2023 10:30:47 EST,01/12/2023 10:30:54 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Sell,Filled,1,1,@1.44,1.44,DAY,01/12/2023 10:28:55 EST,01/12/2023 10:29:02 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Buy,Filled,1,1,@1.55,1.55,DAY,01/12/2023 10:28:55 EST,01/12/2023 10:28:55 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Sell,Filled,1,1,@1.23,1.23,DAY,01/12/2023 10:25:39 EST,01/12/2023 10:25:49 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Buy,Filled,1,1,@1.32,1.32,DAY,01/12/2023 10:25:39 EST,01/12/2023 10:25:41 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Sell,Filled,1,1,@1.26,1.26,DAY,01/12/2023 10:23:28 EST,01/12/2023 10:24:58 EST
SPY 01/12/2023 00:00:00 EST Put $396.00,SPY230112P00396000,Buy,Filled,1,1,@1.34,1.34,DAY,01/12/2023 10:23:28 EST,01/12/2023 10:24:52 EST
SPY 01/12/2023 00:00:00 EST Put $395.00,SPY230112P00395000,Sell,Filled,1,1,@2.97,2.97,DAY,01/12/2023 09:41:34 EST,01/12/2023 09:46:08 EST
